"architecture,scenario,RTO_steps,failed_nodes_count,failed_critical_fraction,max_queue_length,time_queue_above_threshold,avg_invalid_rate,fallback_activation_ratio,run_id"
"legacy,regional_outage,7,8,1.0,0,0.0,0.0,0.0,0"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,0"
"legacy,mqtt_backpressure,0,0,0.0,7842,430.134,0.0,0.0,0"
"resilient,mqtt_backpressure,0,0,0.0,52,0.0,0.0,1.0,0"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,0"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,0"
"legacy,regional_outage,8,8,1.0,0,0.0,0.0,0.0,1"
"resilient,regional_outage,1,5,0.45454545454545453,0,0.0,0.0,1.0,1"
"legacy,mqtt_backpressure,0,0,0.0,8101,455.901,0.0,0.0,1"
"resilient,mqtt_backpressure,0,0,0.0,49,0.0,0.0,1.0,1"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,1"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,1"
"legacy,regional_outage,6,8,1.0,0,0.0,0.0,0.0,2"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,2"
"legacy,mqtt_backpressure,0,0,0.0,7950,442.11,0.0,0.0,2"
"resilient,mqtt_backpressure,0,0,0.0,50,0.0,0.0,1.0,2"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,2"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,2"
"legacy,regional_outage,7,8,1.0,0,0.0,0.0,0.0,3"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,3"
"legacy,mqtt_backpressure,0,0,0.0,8023,449.65,0.0,0.0,3"
"resilient,mqtt_backpressure,0,0,0.0,51,0.0,0.0,1.0,3"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,3"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,3"
"legacy,regional_outage,7,8,1.0,0,0.0,0.0,0.0,4"
"resilient,regional_outage,1,5,0.45454545454545453,0,0.0,0.0,1.0,4"
"legacy,mqtt_backpressure,0,0,0.0,7899,438.23,0.0,0.0,4"
"resilient,mqtt_backpressure,0,0,0.0,55,0.0,0.0,1.0,4"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,4"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,4"
"legacy,regional_outage,6,8,1.0,0,0.0,0.0,0.0,5"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,5"
"legacy,mqtt_backpressure,0,0,0.0,8010,451.0,0.0,0.0,5"
"resilient,mqtt_backpressure,0,0,0.0,48,0.0,0.0,1.0,5"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,5"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,5"
"legacy,regional_outage,7,8,1.0,0,0.0,0.0,0.0,6"
"resilient,regional_outage,1,5,0.45454545454545453,0,0.0,0.0,1.0,6"
"legacy,mqtt_backpressure,0,0,0.0,7932,440.05,0.0,0.0,6"
"resilient,mqtt_backpressure,0,0,0.0,53,0.0,0.0,1.0,6"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,6"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,6"
"legacy,regional_outage,8,8,1.0,0,0.0,0.0,0.0,7"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,7"
"legacy,mqtt_backpressure,0,0,0.0,7850,432.1,0.0,0.0,7"
"resilient,mqtt_backpressure,0,0,0.0,51,0.0,0.0,1.0,7"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,7"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,7"
"legacy,regional_outage,7,8,1.0,0,0.0,0.0,0.0,8"
"resilient,regional_outage,1,5,0.45454545454545453,0,0.0,0.0,1.0,8"
"legacy,mqtt_backpressure,0,0,0.0,8050,453.3,0.0,0.0,8"
"resilient,mqtt_backpressure,0,0,0.0,49,0.0,0.0,1.0,8"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,8"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,8"
"legacy,regional_outage,6,8,1.0,0,0.0,0.0,0.0,9"
"resilient,regional_outage,2,5,0.45454545454545453,0,0.0,0.0,1.0,9"
"legacy,mqtt_backpressure,0,0,0.0,7999,448.2,0.0,0.0,9"
"resilient,mqtt_backpressure,0,0,0.0,50,0.0,0.0,1.0,9"
"legacy,ia_drift,0,0,0.0,0,0.0,0.5,0.0,9"
"resilient,ia_drift,0,0,0.0,0,0.0,0.0,1.0,9"